id,municipalityId,categoryId,name,plainName,department,description,postalCode,address,phone,fax,email,contactFormUrl,officialUrl,openingHours,closedDays,reservationRequired,availableMethods,accessibility,languages,emergencyAlternative,sourceId,status,lastVerifiedAt
aichi-nagoya-city-general,aichi-nagoya,unknown,名古屋市役所,市役所・町村役場の代表窓口,名古屋市,担当窓口が分からない場合の代表窓口です。,460-8508,名古屋市中区三の丸3－1－1,052-961-1111,,,,https://www.city.nagoya.jp/,,,,電話・来所,,,,source-aichi-municipalities,published,2026-07-26
aichi-nagoya-housing-benefit,aichi-nagoya,rent,名古屋市仕事・暮らし自立サポートセンター名駅,住居確保給付金の相談・申請窓口,名古屋市仕事・暮らし自立サポートセンター名駅,住居確保給付金の相談・申請窓口です。申請前に電話で相談してください。,,名古屋市中村区名駅南一丁目５番１７号ネットプラザ柳橋ビル３階,052-446-7333,,sigoto.kurasi@support-nagoya.jp,,https://www.pref.aichi.jp/soshiki/chiikifukushi/0000083363.html,,,,電話・来所,,,,source-aichi-housing-benefit,published,2026-07-26
aichi-nagoya-housing-benefit-2,aichi-nagoya,rent,名古屋市仕事・暮らし自立サポートセンター金山,住居確保給付金の相談・申請窓口,名古屋市仕事・暮らし自立サポートセンター金山,住居確保給付金の相談・申請窓口です。申請前に電話で相談してください。,,名古屋市熱田区新尾頭二丁目２番７号富春ビル４階,052-684-8131,,kanayama@support-nagoya.jp,,https://www.pref.aichi.jp/soshiki/chiikifukushi/0000083363.html,,,,電話・来所,,,,source-aichi-housing-benefit,published,2026-07-26
aichi-nagoya-housing-benefit-3,aichi-nagoya,rent,名古屋市仕事・暮らし自立サポートセンター大曽根,住居確保給付金の相談・申請窓口,名古屋市仕事・暮らし自立サポートセンター大曽根,住居確保給付金の相談・申請窓口です。申請前に電話で相談してください。,,名古屋市北区大曽根四丁目１７番２３号イトーピア大曽根１階,052-508-9611,,shigoto.kurashi@oozone.jp,,https://www.pref.aichi.jp/soshiki/chiikifukushi/0000083363.html,,,,電話・来所,,,,source-aichi-housing-benefit,published,2026-07-26
aichi-nagoya-public-assistance,aichi-nagoya,money,千種区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,千種区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-753-1835,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-10,aichi-nagoya,money,瑞穂区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,瑞穂区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-852-9386,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-11,aichi-nagoya,money,熱田区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,熱田区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-683-9906,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-12,aichi-nagoya,money,中川区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,中川区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-363-4404,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-13,aichi-nagoya,money,中川区富田支所区民福祉課,生活保護の相談・申請窓口,中川区富田支所区民福祉課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-301-8366,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-14,aichi-nagoya,money,港区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,港区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-654-9707,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-15,aichi-nagoya,money,港区南陽支所区民福祉課,生活保護の相談・申請窓口,港区南陽支所区民福祉課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-301-8341,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-16,aichi-nagoya,money,南区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,南区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-823-9400,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-17,aichi-nagoya,money,守山区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,守山区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-796-4595,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-18,aichi-nagoya,money,守山区志段味支所区民福祉課,生活保護の相談・申請窓口,守山区志段味支所区民福祉課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-736-2189,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-19,aichi-nagoya,money,緑区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,緑区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-625-3953,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-2,aichi-nagoya,money,東区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,東区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-934-1184,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-20,aichi-nagoya,money,緑区徳重支所区民福祉課,生活保護の相談・申請窓口,緑区徳重支所区民福祉課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-875-2214,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-21,aichi-nagoya,money,名東区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,名東区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-778-3093,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-22,aichi-nagoya,money,天白区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,天白区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-807-3884,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-3,aichi-nagoya,money,北区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,北区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-917-6505,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-4,aichi-nagoya,money,北区楠支所区民福祉課,生活保護の相談・申請窓口,北区楠支所区民福祉課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-901-2265,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-5,aichi-nagoya,money,西区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,西区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-523-4587,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-6,aichi-nagoya,money,西区山田支所区民福祉課,生活保護の相談・申請窓口,西区山田支所区民福祉課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-501-4973,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
aichi-nagoya-public-assistance-7,aichi-nagoya,money,中村区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請窓口,中村区役所保健福祉センター福祉部民生子ども課,生活保護の相談・申請を受け付ける福祉事務所です。,,,052-433-2968,,,,https://www.pref.aichi.jp/soshiki/chiikifukushi/seikatuhogoseido.html,,,,電話・来所,,,,source-aichi-public-assistance,published,2026-07-26
